parksid,gardenname,jurisdiction,borough,address,cross_streets,zipcode,bbl,lotsize,areacovered,status,openhrssu,openhrsm,openhrstu,openhrsw,openhrsth,openhrsf,openhrssa,coundist,communityboard,nta,census_tract,congressionaldist,assemblydist,statesenatedist,policeprecinct,longitude,latitude,point_geometry_wgs84
R146-GT001,Joe Holzka Community Garden,DPR,Staten Island,1170 Castleton Avenue,Barker Street & Castleton Avenue,10310,5001980126,,,Active,CLOSED,1 p.m. to 5:00 p.m.,4:00 to 6 p.m.,4:00 to 6:00 p.m.,4:00 to 6 p.m.,1:00 to 4 p.m.,11 a.m. to 5:00 p.m.,49,501,SI22 /,133.02,11,61,23,120,-74.121457,40.633896,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xB3\xB7\x94\xF3\xC5\x87R\xC0X\x88\x0E\x81#QD@
MGT040,11th Street Community Garden,MLT,Manhattan,422 East 11th Street,1st Avenue & Avenue A,10009,1004390010,,,Active,Noon to 6:00 p.m.,,,,,,Noon to 6:00 p.m.,2,103,MN22 /,34.0,10,74,27,9,-73.982938,40.728692,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xB9\xFF\xC8t\xE8~R\xC0\xADm\x8A\xC7E]D@
MGT037,Our Neighborhood Place,PRI,Manhattan,77 West 127th Street,Lenox Ave. and 5th Ave.,10027,1017250006,1665.0,Full Lot,Active,,,,,,,,9,110,MN03 /,208.0,13,70,30,32,-73.943777,40.808996,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xE4m\xA5\xD7f|R\xC0$LQ.\x8DgD@
MGT032,Villa Santurce,DPR,Manhattan,95 East 111th Street,Park & Madison Avenues,10029,1016170039,7200.0,Partial Lot,Active,,,,,,,,8,111,MN33 /,174.02,13,68,29,23,-73.945843,40.796245,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA2\x09\x14\xB1\x88|R\xC0@M-[\xEBeD@
MGT029,Dorothy Strelsin Memorial Garden (Suffolk St. - Committee of Poor People),NYRP,Manhattan,174 Suffolk Street,Houston & Stanton,10002,1003500005,,,Active,12:00p - 5:00p,,,,12:00p - 5:00p,,12:00p - 5:00p,2,103,MN27 /,30.01,10,65,27,7,-73.984798,40.720952,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA3\xCA0\xEE\x06\x7FR\xC0.\xFE\xB6\x27H\x5CD@
MGT026,Mo' Pals,MLT,Manhattan,545 West 147th Street,Amsterdam & Broadway,10031,1020790011,,,Active,,,,,,,,7,109,MN04 /,233.0,13,71,30,30,-73.94839,40.827506,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x9Fv\xF8k\xB2|R\xC04\x9Fs\xB7\xEBiD@
MGT020,El Cataño Garden,NYRP,Manhattan,171 East 110th Street,3rd & Lexington Avenues,10029,1016380032,,,Active,,,,,,,,8,111,MN33 /,172.0,13,68,29,23,-73.943183,40.794539,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00*\xC9:\x1C]|R\xC0\xC126t\xB3eD@
MGT018,103rd Street Community Garden,NYRP,Manhattan,105 East 103rd Street,Lexington & Park Avenues,10029,1016310002,3229.0,Full Lot,Active,,,,,,,,8,111,MN33 /,166.0,13,68,29,23,-73.948556,40.790927,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00,\x9B9$\xB5|R\xC0\x00C\x8F\x18=eD@"
MGT002,Home Depot Children's Garden,NYRP,Manhattan,421 East 117th Street,btw 1st Ave and Pleasant,10035,1017110011,,,Active,,,,,,,,8,111,MN34 /,178.0,13,68,29,25,-73.933859,40.796483,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xD1\x04\x8AX\xC4{R\xC0\xF6h\xAA\x27\xF3eD@
M396-GT001,Children's Magical Garden,DPR/PRI,Manhattan,131 Stanton Street,Norfolk and Essex St.,10002,1003540018,,,Active,3:00 p.m. - 6:00 p.m.,3:00 p.m. - 6:00 p.m.,3:00 p.m. - 6:00 p.m.,3:00 p.m. - 6:00 p.m.,CLOSED,3:00 p.m. - 6:00 p.m.,3:00 p.m. - 6:00 p.m.,1,103,MN27 /,30.01,10,65,27,7,-73.986576,40.720735,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00/\xC1\xA9\x0F$\x7FR\xC0\x90\x0Ac\x0BA\x5CD@
M380-GT001,Harlem Grows 131st Street Farm,DPR,Manhattan,34 West 131st Street,btw 5th & Lenox  Avenues,10037,1001728054,3331.0,Full Lot,Active,,,10:00 a.m. - 2:00 p.m.,10:00 a.m. - 2:00 p.m.,10:00 a.m. - 2:00 p.m.,10:00 a.m. - 2:00 p.m.,10:00 a.m. - 2:00 p.m.,9,110,MN03 /,208.0,13,70,30,32,-73.941247,40.810696,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00R\x9D\x0Ed=|R\xC0\xBF\x7F\xF3\xE2\xC4gD@
M374-GT001,Clayton Williams Garden,DPR/MLT,Manhattan,303 W 126th Street,At Frederick Douglass Boulevard,10027,1019530029,,,Active,3:00 p.m. - 4:00 p.m.,9:00 a.m. - 11:00 a.m. &  2:00 p.m. - 3:00 p.m.,12:00 p.m. - 1:00 p.m.,10:00 .a.m. - 2:00 p.m.,10:30 a.m. - 1:00 p.m.,12:00 p.m. - 2:00 p.m. & 5:30 p.m. - 7:30 p.m.,12:00 p.m. - 1:00 p.m.,9,110,MN03 /,215.0,13,70,30,28,-73.951058,40.811247,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00Y\xA6_\x22\xDE|R\xC04\xFD\x12\xF1\xD6gD@
M350-GT001,Peach Tree Garden,DPR,Manhattan,236 East 2nd Street,Avenues B & C,10009,1003850051,,,Active,1:00 p.m. - 6:00 p.m.,CLOSED,CLOSED,1:00 p.m. - 6:00 p.m.,CLOSED,CLOSED,1:00 p.m. - 6:00 p.m.,2,103,MN28 /,22.02,10,65,27,9,-73.98202,40.721676,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00&\x01jj\xD9~R\xC0s\x27\x11\xE1_\x5CD@
M348-GT001,Morris Jumel Community Garden,DPR,Manhattan,457 West 162nd Street,Edgecomb & Street Nic/Amsterdam,10032,1021100058,,,Active,12:00 p.m. - 5:00 p.m.,CLOSED,5:00 p.m. - 7:00 p.m.,CLOSED,CLOSED,CLOSED,12:00 p.m. - 5:00 p.m.,10,112,MN36 /,243.01,13,72,31,33,-73.939143,40.835777,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x1C\xD1=\xEB\x1A|R\xC0\xDD\xDF\xA0\xBD\xFAjD@
M346-GT001,Life Spire,DPR,Manhattan,2015 Lexington Avenue,E.122 & E.123 Streets,10035,1017710121,865.0,Full Lot,Active,,,,,,,,8,111,MN34 /,196.0,13,68,30,25,-73.938451,40.802579,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x81y\xC8\x94\x0F|R\xC0l\xBA\x9E\xE8\xBAfD@
M344-GT001,Humacao Community Garden,DPR,Manhattan,335 E 108th Street,1st & 2nd Avenues,10029,1016800021,,,Active,,,,,3:00 p.m. - 7:00 p.m.,3:00 p.m. - 7:00 p.m.,1:00 p.m. - 7:00 p.m.,8,111,MN33 /,170.0,13,68,29,23,-73.939527,40.791351,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00`\xAD\xDA5!|R\xC0\x15TT\xFDJeD@
M343-GT001,Vamos A Sembrar,DPR,Manhattan,198 Avenue B,E. 12th & E. 13th Streets.,10009,1004060038,1100.0,,Active,12:00 p.m. - 5:00 p.m.,12:00 p.m. - 5:00 p.m.,12:00 p.m. - 5:00 p.m.,12:00 p.m. - 5:00 p.m.,CLOSED,12:00 p.m. - 5:00 p.m.,12:00 p.m. - 5:00 p.m.,2,103,MN22 /,34.0,12,74,27,9,-73.979088,40.728321,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xFD\xF9\xB6`\xA9~R\xC0\xB9\xFE]\x9F9]D@
M333-GT001,Bradhurst Community Garden of Love,DPR,Manhattan,321 W 152nd Street,at Bradhurst Ave.,10039,1020460049,,,Active,8:00 a.m. - 8:00 p.m.,8:00 a.m. - 8:00 p.m.,8:00 a.m. - 8:00 p.m.,8:00 a.m. - 8:00 p.m.,8:00 a.m. - 8:00 p.m.,8:00 a.m. - 8:00 p.m.,8:00 a.m. - 8:00 p.m.,9,110,MN03 /,235.02,13,71,30,32,-73.939418,40.827556,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x85\xD1\xACl\x1F|R\xC0\xE5\xCD\xE1Z\xEDiD@
M331-GT002,117th Street Community Garden,DPR,Manhattan,172 East 117th Street,3rd & Lexington Avenues,10035,1001644046,1716.0,Full Lot,Active,,12:00 p.m. - 4:00 p.m.,12:00 p.m. - 4:00 p.m.,12:00 p.m. - 4:00 p.m.,12:00 p.m. - 4:00 p.m.,12:00 p.m. - 4:00 p.m.,12:00 p.m. - 4:00 p.m.,8,111,MN34 /,182.0,13,68,30,25,-73.940557,40.798811,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x87\xC1\xFC\x152|R\xC0\xB2WXp?fD@
M330-GT001,Family Community Garden Manhattan,DPR,Manhattan,156 East 111th Street,3rd & Lexington Avenues,10029,1016380050,,,Inactive (Group Forming),8:00 a.m. - 2:30 p.m.,9:30 a.m. - 1:00 p.m.,9:30 a.m. - 1:00 p.m.,8:00 a.m. - 9:30 a.m.,8:00 a.m. - 9:30 a.m.,1:00 p.m.- 2:30 p.m.,1:00 p.m.- 2:30 p.m.,8,111,MN33 /,172.0,13,68,29,23,-73.943785,40.795119,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00%]3\xF9f|R\xC0\xCF\xB6\x9Au\xC6eD@
M325-GT002,Flower Door Garden,DPR,Manhattan,135 Avenue C,8th and 9th St.,10009,1003910030,,,Active,11:00 a.m. -  4:00 p.m.,11:00 a.m. -  2:00 p.m.,11:00 a.m. -  2:00 p.m.,11:00 a.m. -  2:00 p.m.,11:00 a.m. -  2:00 p.m.,11:00 a.m. -  2:00 p.m.,11:00 a.m. -  4:00 p.m.,2,103,MN28 /,26.02,10,74,27,9,-73.978584,40.725255,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xE3\x18\xC9\x1E\xA1~R\xC0V!\xE5\x27\xD5\x5CD@
M321-GT001,East Side Outside Community Garden,JOP,Manhattan,415 East 11th Street,1st Avenue & Avenue A,10009,1005690010,8225.0,Partial Lot,Active,10:00 a.m. - 4:00 p.m.,,,,,,10:00 a.m. - 4:00 p.m.,2,103,MN22 /,34.0,10,74,27,9,-73.983024,40.729384,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xB8\xCB~\xDD\xE9~R\xC0\xE3\x1Cut\x5C]D@
M306-GT001,West 104th Street Garden,DPR,Manhattan,8 West 104th Street,Central Park West & Manhattan Avenue,10025,1018390042,,,Active,10: 00 a.m. - 4:00 p.m,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,10: 00 a.m. - 4:00 p.m,7,107,MN12 /,189.0,13,69,30,24,-73.961785,40.796822,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00#2\xAC\xE2\x8D}R\xC0\xD9]gC\xFEeD@
MGT042,Carmen Pabon Del Amanecer Jardin,PRI,Manhattan,117 Avenue C,East 8th and East 7th St.,10009,1003900027,,,Active,,,,1:00p - 6:00p,,,"12:00p - 5:00p (May, June, Sep, Oct) & 9:00a - 1:00p (July and Aug)",2,103,MN28 /,26.02,10,74,27,9,-73.97897,40.724593,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xF8p\xC9q\xA7~R\xC0\x8C\xF4\xA2v\xBF\x5CD@
M352-GT001,Relaxation Garden,DPR,Manhattan,209 Avenue B,At E.13 th Street,10009,1003950008,,,Closed (Construction),,,,,,,,2,103,MN28 /,28.0,10,74,27,9,-73.978377,40.728537,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00&\x8A\x90\xBA\x9D~R\xC0\x87vN\xB3@]D@
M284-GT001,Convent Garden,DPR,Manhattan,481 WEST 151 STREET,,10031,1020660025,5840.0,,Not GreenThumb,,,,,,,,9,109,MN04 /,235.01,13,71,30,30,-73.944306,40.828808,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA9\xDAn\x82o|R\xC0\xE3Tka\x16jD@
XGT033,Schervier Community Garden,PRI,Bronx,2975 Independence Avenue,W. 231th St.,10463,2057470590,,,Not GreenThumb,,,,,,,,11,208,BX29 /,301.0,15,81,33,50,-73.918917,40.883077,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00B\xAF?\x89\xCFzR\xC0\xC4l\xC9\xAA\x08qD@
XGT032,Roberto Clemente Community Garden,BLT,Bronx,1276 Shakespeare Avenue,Shakespeare Avenue & W 169th St,10452,2025060091,,,Active,,7 a.m. to Noon,,,,7 a.m. to Noon,,16,204,BX26 /,211.0,15,77,29,44,-73.922408,40.838961,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00gd\x90\xBB\x08{R\xC0J\xCF\xF4\x12ckD@
XGT001,Jardín de Ternura,BLT,Bronx,2078 Anthony Avenue,E. 180th Street & Burnside Avenue,10457,2031560055,,,Active,,,,,,,,15,205,BX41 /,381.0,15,86,32,46,-73.901552,40.852883,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00-\xE9(\x07\xB3yR\xC0=((E+mD@
X351-GT001,Dolorinda Lisante Community Garden,DPR,Bronx,809 Courtlandt Avenue,E. 158th & E. 159th Streets.,10451,2024180022,,,Active,CLOSED,9:00 a.m. - 11:00 a.m.,10:00 a.m. -12:00 p.m.,5:00 p.m. - 7:00 p.m.,CLOSED,5:00 p.m. - 7:00 p.m.,11:00 a.m. -1:00 p.m.,17,201,BX34 /,69.0,15,79,29,40,-73.916728,40.823068,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xF6\xD4\xEA\xAB\xABzR\xC0(1\xCFJZiD@
X331-GT001,Townsend Garden,DPR,Bronx,1735 Walton Avenue,At E 175th Street,10453,2028490068,,,Active,10:00 a.m.- 12:00 p.m.,11:00 a.m.- 2:00 p.m.,11:00 a.m.- 2:00 p.m.,11:00 a.m.- 2:00 p.m.,11:00 a.m.- 2:00 p.m.,11:00 a.m.- 2:00 p.m.,CLOSED,14,205,BX41 /,227.01,15,77,33,46,-73.911017,40.846913,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00gF?\x1ANzR\xC0W\xC7*\xA5glD@
X329-GT001,Miracle Garden - Bronx,DPR,Bronx,851 Fairmont Place,At Marmion Ave.,10460,2029550032,,,Active,,,,,,,,15,206,BX17 /,365.02,15,79,32,48,-73.887546,40.842086,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x85\xEC\xBC\x8D\xCDxR\xC0\xB35[y\xC9kD@
X297-GT001,Garden of Eden,DPR,Bronx,1664 Weeks Avenue,At E. 173rd Street,10457,2027920009,,,Active,,,,,,,,15,204,BX41 /,229.02,15,86,32,44,-73.907396,40.843463,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x5C!\xAC\xC6\x12zR\xC0h1x\x98\xF6kD@
XGT014,Clay Avenue Community Garden,NYRP,Bronx,1330 Clay Avenue,E. 169th & E. 170th Streets,10456,2028870013,,,Active,,,,,,,,16,204,BX14 /,177.02,15,77,32,44,-73.908897,40.834909,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xAE\x9BR^+zR\xC0j\x11QL\xDEjD@
BGT062,Myrtle Village Green,DEP (DPR),Brooklyn,636 Myrtle Avenue,Kent Ave. and Franklin Ave.,11205,3019120003,20000.0,Partial Lot,Active,10:00a - 7:00p,10:00a - 12:00p,,,,,10:00a - 7:00p,33,303,BK69 /,235.0,8,57,25,79,-73.958743,40.693553,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x006\x91\x99\x0B\x5C}R\xC0v\x85>X\xC6XD@
BGT061,Hendrix Street Block Association Garden,NYRP,Brooklyn,532 Hendrix Street,Blake & Dumont Avenues,11207,3004058121,,,Active,,,,,,,,42,305,BK82 /,1160.0,8,60,19,75,-73.888494,40.668531,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00M,\xF0\x15\xDDxR\xC0]\xAE~l\x92UD@"
BGT059,Miraflores Community Garden,NYRP,Brooklyn,900 Broadway,between Stockton St & Arion Pl,11206,3001582021,,,Active,,,,,,,,36,303,BK35 /,287.0,8,56,25,81,-73.936994,40.697748,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x16\xA3\xAE\xB5\xF7{R\xC0\xB9lt\xCEOYD@
BGT054,Target Brooklyn (Bedford Avenue Block Association),NYRP,Brooklyn,931 Bedford Avenue,Willoughby and Dekalb Ave.,11205,3017620019,4000.0,Full Lot,Active,,,,,,,,33,303,BK75 /,241.0,8,57,25,79,-73.955332,40.692119,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA04\xD4($}R\xC0Y\xF8\xFAZ\x97XD@
BGT038,Greene Acres Community Garden,NYRP,Brooklyn,349 Greene Ave,corner of Greene Ave,11238,3019530043,10375.0,Full Lot,Active,,,,,,,,36,303,BK75 /,233.0,8,57,25,79,-73.957538,40.687676,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00X\xABvMH}R\xC0>\x1Fe\xC4\x05XD@
BGT028,Hollenback Community Garden,BQLT,Brooklyn,460 Washington Avenue,Gates & Greene Avenue,11238,3019620069,,,Active,10:00 a.m. to 6:00 p.m.,,,,,,10:00 a.m. to 6:00 p.m.,35,302,BK69 /,199.0,7,57,25,88,-73.965606,40.685148,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x91\xB4\x1B}\xCC}R\xC0\xBEu\xFE\xED\xB2WD@
BGT025,Essex Street Community Garden,NYRP,Brooklyn,3030 Fulton Street,at Essex St.,11208,3039560051,,,Active,,,,,,,,37,305,BK82 /,1168.0,7,54,18,75,-73.882984,40.680263,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x0A\xB9R\xCF\x82xR\xC0\xE5\xD6\xA4\xDB\x12WD@
B582-GT001,Brooklyn's Finest Garden,DPR,Brooklyn,48 Lefferts Place,Saint James Pl & Grand Avenue,11238,3020180035,,,Active,,,,,6:00p - 8:00p,,10:00a - 4:00p,35,302,BK69 /,201.0,7,57,25,88,-73.961916,40.681255,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xF2_ \x08\x90}R\xC0D\x9E$]3WD@
B578-GT001,Sunkissed Garden,DPR,Brooklyn,658 Saratoga Avenue & 89 Blake Avenue,Saratoga & Blake Avenue,11212,3003536051,2009.0,Full Lot,Active,4:00 p.m. - 6:00 p.m.,11:00 a.m. -  4 :00 p.m.,CLOSED,CLOSED,12:00 p.m. - 4:00 p.m.,CLOSED,1:00 p.m. - 4:00 p.m.,41,316,BK81 /,900.0,8,55,25,73,-73.916623,40.664735,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xBB\xF0\x83\xF3\xA9zR\xC0\xD8\xC0V\x09\x16UD@
B552-GT001,Grand Street Community Garden,DPR,Brooklyn,239 Grand Street,btw Driggs Ave & Roebling St,11211,3023820028,,,Active,10:00a - 2:00p,9:00a - 1:00p,9:00a - 1:00p,9:00a - 1:00p,9:00a - 1:00p,9:00a - 1:00p,10:00a - 2:00p,34,301,BK73 /,519.0,7,50,59,90,-73.958936,40.713787,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00@\xBD\x195_}R\xC0\xAE\xA7V_][D@
B531-GT001,Garden of Plenty,DPR,Brooklyn,19 Hunterfly Place,Herkimer Street and Atlantic Avenue,11233,3017080064,,,Active,CLOSED,11:00 a.m. - 4:00 p.m.,11:00 a.m. - 4:00 p.m.,11:00 a.m. - 4:00 p.m.,11:00 a.m. - 4:00 p.m.,CLOSED,11:00 a.m. - 4:00 p.m.,36,303,BK61 /,299.0,8,56,20,81,-73.928061,40.677629,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00[\xEC\xF6Ye{R\xC0\x1E\xE9\x0C\x8C\xBCVD@
B522-GT001,Jerome-Glenmore Cornerstone,DPR,Brooklyn,314 Jerome Street,At Glenmore,11207,3003997016,,,Active,11:00 a.m.  -  3:00 p.m.,10:00 a.m.  -  12:00 p.m.,10:00 a.m.  -  12:00 p.m.,10:00 a.m.  -  12:00 p.m.,10:00 a.m.  -  12:00 p.m.,10:00 a.m.  -  12:00 p.m.,11:00 a.m.  -  3:00 p.m.,42,305,BK82 /,1150.0,8,54,19,75,-73.887216,40.674091,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00:\x1F\x9E%\xC8xR\xC0\x90\xC3\x27\x9DHVD@
B519-GT001,Spencer Street Community Garden,DPR,Brooklyn,230A Spencer Street,DeKalb & Willoughby Avenue,11205,3001762067,,,Active,10:00 a.m. - 7:00 p.m.,CLOSED,CLOSED,10:00 a.m. - 7:00 p.m.,CLOSED,CLOSED,10:00 a.m. - 7:00 p.m.,33,303,BK75 /,241.0,8,57,25,79,-73.954821,40.691449,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00-\x22\x8A\xC9\x1B}R\xC0\x0A\xED\x9Cf\x81XD@
B505-GT001,Sterling Community Group Garden,DPR,Brooklyn,1701 Sterling Place,"Sterling Place, Ralph, Howard",11233,3014660001,5029.0,Full Lot,Active,8:00 a.m. - 6:00 p.m.,9:00 a.m. - 4:00 p.m.,9:00 a.m. - 4:00 p.m.,9:00 a.m. - 4:00 p.m.,9:00 a.m. - 4:00 p.m.,9:00 a.m. - 4:00 p.m.,8:00 a.m. - 6:00 p.m.,41,316,BK79 /,363.0,9,55,25,73,-73.922347,40.671016,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x14$\xB6\xBB\x07{R\xC0\xDF\x8B/\xDA\xE3UD@
B496-GT001,Victory Garden B5,DPR,Brooklyn,613 Hendrix Street,,11207,3040750107,,,Active,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,42,305,BK82 /,1124.0,8,60,19,75,-73.887549,40.666576,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00>&R\x9A\xCDxR\xC04&\xC4\x5CRUD@
B483-GT001,ENY Oasis Community Garden,DPR,Brooklyn,2539 Pitkin Avenue,Atkins/Montauk,11208,3040070040,,,Active,11:00 a.m. - 7:00 p.m.,CLOSED,CLOSED,11:00 a.m. - 4:00 p.m.,CLOSED,CLOSED,11:00 a.m. - 7:00 p.m.,42,305,BK82 /,1192.0,8,54,19,75,-73.878584,40.674651,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00}\xB2b\xB8:xR\xC0\x5C\x9B\xC6\xF6ZVD@
B479-GT001,Lefferts Place Community Garden,DPR,Brooklyn,162 Lefferts Place,Classon & Franklin,11238,3020200019,2975.0,Full Lot,Active,8:00 a.m.  - 12:00 p.m.,7:00 a.m. - 2:00 p.m.,7:00 a.m. - 2:00 p.m.,7:00 a.m. - 2:00 p.m.,7:00 a.m. - 2:00 p.m.,7:00 a.m. - 2:00 p.m.,8:00 a.m. - 4:00 p.m.,36,303,BK69 /,227.0,8,57,25,79,-73.957629,40.680369,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xE0,%\xCBI}R\xC0-\x1B\xD6T\x16WD@"
B474-GT001,Hart to Hart Community Garden,DPR,Brooklyn,108 Hart Street,Tompkins & Marcy,11206,3017710022,,,Active,11:00 am - 4:00 p.m.,,,,,,11:00 am - 4:00 p.m.,36,303,BK75 /,261.0,8,56,25,79,-73.947312,40.693106,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xEF\xC6\x82\xC2\xA0|R\xC0\xA9T\x89\xB2\xB7XD@
B471-GT001,Green Gems,DPR,Brooklyn,147 Fountain Avenue,Glenmore Ave. & Liberty Ave.,11208,2041910008,2000.0,Full Lot,Active,CLOSED,10:00a.m.- 12:00p.m. & 9:00 a.m. - 4:00 p.m.,10:00a.m.- 12:00p.m. & 9:00 a.m. - 4:00 p.m.,10:00a.m.- 12:00p.m. & 9:00 a.m. - 4:00 p.m.,10:00a.m.- 12:00p.m. & 9:00 a.m. - 4:00 p.m.,10:00a.m.- 12:00p.m. & 9:00 a.m. - 4:00 p.m.,CLOSED,37,305,BK82 /,1196.0,7,54,19,75,-73.875415,40.676659,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00b\xDB\xA2\xCC\x06xR\xC0\xA6\xC5\x19\xC3\x9CVD@
B464-GT002,Friends of Flowers Community Garden,DPR,Brooklyn,1905 Bergen Street,,11233,3014460061,2679.0,Full Lot,Active,3:00 p.m.  - 6:00 p.m.,,,1:00 p.m. - 5:00 p.m.,1:00 p.m. - 5:00 p.m.,11:00 a.m. - 4:00 p.m.,11:00 a.m. - 4:00 p.m.,41,316,BK79 /,303.0,8,55,25,73,-73.918096,40.6746,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA9\xA5\xB9\x15\xC2zR\xC0\xDA\xF0\xF4JYVD@
B462-GT001,Family Community Garden Brooklyn,DPR,Brooklyn,793 Cleveland Street,Hegeman & New Lots Avenues,11208,3043130059,,,Active,9:00 a.m. - 12:00 p.m.,9:00 a.m. - 12:00 p.m.,9:00 a.m. - 12:00 p.m.,9:00 a.m. - 12:00 p.m.,9:00 a.m. - 12:00 p.m.,9:00 a.m. - 12:00 p.m.,9:00 a.m. - 12:00 p.m.,42,305,BK82 /,1120.0,8,60,19,75,-73.881204,40.66517,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xAEFv\xA5exR\xC0\xE3#bJ$UD@
